table_name,constraint_name,constraint_type,column_name
account_settings,account_settings_pkey,PRIMARY KEY,phone_number
account_settings,account_settings_slug_unique,UNIQUE,slug
account_settings,account_settings_tenant_id_unique,UNIQUE,tenant_id
active_handoffs,active_handoffs_pkey,PRIMARY KEY,id
agent_actions,agent_actions_customer_id_fkey,FOREIGN KEY,customer_id
agent_actions,agent_actions_pkey,PRIMARY KEY,id
analytics_daily,analytics_daily_pkey,PRIMARY KEY,date
analytics_daily,analytics_daily_pkey,PRIMARY KEY,channel
aplus_conversations_old,aplus_conversations_customer_id_fkey,FOREIGN KEY,customer_id
aplus_conversations_old,aplus_conversations_external_id_key,UNIQUE,external_id
aplus_conversations_old,aplus_conversations_pkey,PRIMARY KEY,conversation_id
aplus_customers_old,aplus_customers_phone_key,UNIQUE,phone
aplus_customers_old,aplus_customers_pkey,PRIMARY KEY,customer_id
aplus_voice_sessions_old,aplus_voice_sessions_call_sid_key,UNIQUE,call_sid
aplus_voice_sessions_old,aplus_voice_sessions_pkey,PRIMARY KEY,id
bookings,bookings_pkey,PRIMARY KEY,id
caller_consent,caller_consent_pkey,PRIMARY KEY,id
caller_consent,caller_consent_tenant_phone_key,UNIQUE,tenant_id
caller_consent,caller_consent_tenant_phone_key,UNIQUE,caller_phone
caller_memory,caller_memory_customer_fkey,FOREIGN KEY,customer_id
caller_memory,caller_memory_pkey,PRIMARY KEY,id
caller_memory,caller_memory_tenant_phone_key,UNIQUE,tenant_id
caller_memory,caller_memory_tenant_phone_key,UNIQUE,caller_phone
caller_memory,caller_memory_tenant_phone_key,UNIQUE,memory_key
conversation_messages,conversation_messages_pkey,PRIMARY KEY,message_id
conversations,conversations_customer_id_fkey,FOREIGN KEY,customer_id
conversations,conversations_external_id_key,UNIQUE,external_id
conversations,conversations_pkey,PRIMARY KEY,conversation_id
customers,customers_pkey,PRIMARY KEY,customer_id
customers,customers_tenant_phone_key,UNIQUE,tenant_id
customers,customers_tenant_phone_key,UNIQUE,phone
faq_entries,faq_entries_pkey,PRIMARY KEY,id
handoffs,handoffs_pkey,PRIMARY KEY,id
leads,leads_pkey,PRIMARY KEY,id
opt_outs,opt_outs_pkey,PRIMARY KEY,id
opt_outs,opt_outs_tenant_phone_channel_key,UNIQUE,tenant_id
opt_outs,opt_outs_tenant_phone_channel_key,UNIQUE,phone
opt_outs,opt_outs_tenant_phone_channel_key,UNIQUE,channel
quiet_hours_config,quiet_hours_config_name_key,UNIQUE,config_name
quiet_hours_config,quiet_hours_config_pkey,PRIMARY KEY,id
voice_config,voice_config_pkey,PRIMARY KEY,voice_id
voice_sessions,voice_sessions_call_sid_key,UNIQUE,call_sid
voice_sessions,voice_sessions_customer_id_fkey,FOREIGN KEY,customer_id
voice_sessions,voice_sessions_pkey,PRIMARY KEY,id
widget_tenant_config,widget_tenant_config_pkey,PRIMARY KEY,id
widget_tenant_config,widget_tenant_config_tenant_key_key,UNIQUE,tenant_key
yap_conversation_logs,yap_conversation_logs_pkey,PRIMARY KEY,id
yap_tenants,yap_tenants_pkey,PRIMARY KEY,id
yap_tenants,yap_tenants_tenant_key_key,UNIQUE,tenant_key
